headline,label,category
BREAKING REPORT: MITT ROMNEY To Make Huge Announcement About Running For Major Political Office…There’s Only ONE Thing Standing In His Way,1,politics
Claire McCaskill Blasts Trump As A ‘Bloviated God Damned Fool’,1,News
Iran's armed forces say time to teach U.S. 'new lessons:' ISNA,0,worldnews
Trump rolls back parts of what he calls 'terrible' Obama Cuba policy,0,politicsNews
DISNEY OWNED ABC SHOW “Scandal” Shows Actress Having Abortion While “Silent Night” Plays And Narrator Says: “Family doesn’t complete you…it destroys you” [VIDEO] UPDATE: ‘Scandal’ Producer Sits On Planned Parenthood Board,1,left-news
Rachel Maddow Goes Off-Script To Offer This Dire Warning About Trump’s National Security Advisor,1,News
Trump’s White House IMPLODES As Kellyanne Conway Attacks Fellow Top Staffer (VIDEO),1,News
Trump Calls On White Supporters To Intimidate Voters At The Polls,1,News
"Backed by Putin, Russian military pushes into foreign policy",0,worldnews
HILLARY’S #UNFIT TO SERVE…And Her Cover-Up Is Imploding! [VIDEO],1,politics
Texas governor calls legislative session; could include bathroom bill,0,politicsNews
‘NOT WITTINGLY’ JAMES CLAPPER Reveals Anti-Trump-Bitterness: “Our Institutions Are Under Assault” [Video],1,politics
Alabama Senate race winner urges Republican rival to 'move on',0,politicsNews
Poland's president designates finance minister Morawiecki as new PM,0,worldnews
"UNPOPULAR HILLARY HOSTS Rally In Empty Charlotte, NC Church…Tiny Room In Toledo, OH…Pops Cough Lozenges…Stretcher Brought Backstage [VIDEO]",1,politics
"SICKENING: ANGRY BLACK STUDENT Spray Paints RACIST Graffiti All Over UW Madison Campus…RADICAL Professors, 700 Students Cry “RACISM” When Police Arrest Him[VIDEO]",1,left-news
INSTANT VIEW: Reactions to grand jury subpoenas regarding Donald Trump Jr.,0,politicsNews
China foreign minister to visit Myanmar amid Rohingya crisis,0,worldnews
Trump Campaign Chair Says Racism Didn’t Exist Before Obama – Promptly Resigns,1,News
"Yemen Houthis say Sanaa airport repaired, ready to receive flights: agency",0,worldnews
"With opposition split, Venezuela mayoral vote will strengthen Maduro",0,worldnews
Donald Trump Jr. Speechwriters ALSO Copied Part Of His Speech (TWEETS),1,News
Ukraine's Poroshenko rejects Russia's 'hybrid' peackeeping offer,0,worldnews
‘Daily Show’ DESTROYS Transphobic Republicans For Their Ridiculous Bathroom Bills (VIDEO),1,News
This One Tweet Explains How Close Trump Is To Destroying America,1,News
Tunisia PM will go ahead with painful policy despite opposition,0,worldnews
Starbucks And Barnes & Noble Joining Target In Saying FU To Haters,1,News
FBI UNDERCOVER Informant On Hillary’s 2010 Sale Of Uranium Identified,1,politics
"Give us some clarity on Brexit, French minister Griveaux tells UK",0,worldnews
"Breaking: MAJOR Action Taking Place At Trump Tower As Activists Project Messages, Demonstrate (IMAGES)",1,News
German ban on Islamist group True Religion confirmed as complaints dropped,0,worldnews
No-confidence vote against Pennsylvania approved amid corruption probe,0,politicsNews
Watch Seth Meyers’ Hilarious And Convincing Argument About Trump’s Chances In The Primaries (VIDEO),1,News
Ivanka Won’t Defend Trump’s “Rigged” Election Claims In AWKWARD Pre-debate Interview (VIDEO),1,News
Scholastic Yanks Children’s Book For Its Portrayal Of Happy Slaves (IMAGE),1,News
Austrian finance minister says will not serve in new government,0,worldnews
MOTHER OF 12 GOES ON RANT IN TARGET STORE: “Mothers…Get your children out of this store!” [Viral VIDEO],1,politics
"EPIC FAIL: Anti-Trump Movement Spent $75 MILLION on 64,000 Ads",1,US_News
ALERT: Republicans Push Bill To Split Ninth Circuit Court In Response To Ruling Against Trump,1,News
JUDGE JEANINE PIRRO: “This wasn’t an election…it was a REVOLUTION!” [Video],1,politics
Divided lawmakers battle over Puerto Rico debt bill,0,politicsNews
Native Americans move to frontlines in battle over voting rights,0,politicsNews
U.S. Spy Chief James Clapper: U.S. Must Be Prepared for a ‘Large Armageddon-scale’ Cyber Attack,1,Government News
Watch Trump’s Tense Confrontation With Protester Wearing ‘KKK Endorses Trump’ Shirt (VIDEO),1,News
Global backlash grows against Trump's immigration order,0,politicsNews
France's Macron says not offering Hariri exile,0,worldnews
Furious Trump Supporter Threatens To Kill Trump After He Changes Immigration Policy (VIDEO),1,News
"Raqqa campaign in final stages, SDF says",0,worldnews
Merkel wants progress in coalition talks in 10 days,0,worldnews
Hungary's Jobbik asks voters to help pay 'court-martial' fine,0,worldnews
"Trump discusses North Korea threat in calls with China, Japan leaders",0,politicsNews
Russian bombers hit Islamic State targets in Syria: agencies,0,worldnews
Bernie Supporters Are Asked To Describe Donald Trump With Just One Word (VIDEO),1,News
Former RNC Chair Michael Steele Refuses To Vote For Donald Trump,1,News
U.S. special counsel's investigators met author of 'Trump dossier': source,0,politicsNews
Reporters Covering Inauguration Day Anti-Trump Protest Face 70 Years In Prison (VIDEO),1,News
Boiler Room EP #117 – Straight Outta Tavistock & The Woke AF Zombie Apocalypse,1,US_News
WATCH: Trump Becomes Unhinged When Confronted About His Vulgar Language In Front Of Children,1,News
New Zealand parties hold talks to form coalition government,0,worldnews
"ANARCHY BY DESIGN: ‘Anti-Trump’ Flash Mobs, Hollywood and The Wall Street War Chest",1,US_News
Honduras opposition proposes election recount or run-off,0,worldnews
Many Russian officials have good ties with Tillerson: Kremlin,0,politicsNews
"China, South Korea agree to get relations back on track",0,worldnews
"Indian military helicopter crashes near China border, seven dead",0,worldnews
Kuwait denies it imposed travel ban praised by Trump,0,politicsNews
Trump to nominate Senate aide for Federal Energy Regulatory Commission,0,politicsNews
Painfully Stupid Trump Fan Thanks God And ‘Trumpcare’ For Her Lower Healthcare Costs Under Obamacare,1,News
Trump says open to repeal of debt ceiling: 'It complicates things',0,politicsNews
Trump's wife seeks to soften his image at raucous Republican convention,0,politicsNews
"McCain says 'no information' Russia sought to influence election, probe needed",0,politicsNews
EPIC TUCKER CARLSON! Liberal Hack Demolished For Claim About Russian Hacking And Trump’s Response [Video],1,politics
Trump Just Threatened To Jail Hillary If He’s Elected – Then She Blasted His Orange Face Off (VIDEO),1,News
Trump Brags About His Inauguration’s TV Ratings And Gets A BRUTAL Reality Check,1,News
JUST IN: VIDEO SHOWS Obama State Department Telling Reporters They Have No Problem With General Flynn Contacting Foreign Officials,1,politics
Visualizing the influx of Rohingya refugees,0,worldnews
EU imposes oil embargo on North Korea in symbolic gesture,0,worldnews
JUST IN: POTUS Speaks Out On Alabama’s Roy Moore…The Left Goes Bonkers [Video],1,politics
Trump looks for boost from Clinton's new email problem,0,politicsNews
Trump nominee for China ambassador promises firm line on Beijing,0,politicsNews
Donald Trump Storms Glenn Beck’s Ted Cruz Rally Live On-Air And Shuts It Down (VIDEO/TWEETS),1,News
Trump gets one presidential intelligence briefing a week: sources,0,politicsNews
TRUMP-BACKED GOLFER MAKES IT TO THE MASTERS: “Why are you folding shirts and giving lessons?,1,politics
(VIDEO) Elitist Media Stoops To New Low Attacking Trump For Telling The Truth: “Carly cut his balls off with the precision of a surgeon.”,1,politics
Watch This Profusely Oblivious Billionaire Question Why People Are So Unhappy (VIDEO),1,News
Trump says '100 percent' willing to respond to Comey under oath,0,politicsNews
"In battleground Florida, tough stance on felons may sap votes for Democrats",0,politicsNews
"U.S. trade barriers report slams China on overcapacity, tech transfer",0,politicsNews
Trump administration nearing completion of Cuba policy review: sources,0,politicsNews
Tillerson accuses Iran of 'alarming provocations' as U.S. reviews policy,0,politicsNews
Critics accuse UK government of not taking Brexit preparations seriously enough,0,worldnews
"CNN in a Panic Over Assad Success, Collapse of ‘White Helmets’ Narrative, Fumbling Over ‘Humanitarian Organizations’",1,US_News
[Video] OBAMA TAKES ADVANTAGE Of Opportunity To Speak In Front Of Communists in Panama About Racist America: ‘There Are Dark Chapters in Our Own History’,1,politics
Keith Olbermann Lashes Out At Trump For Whining About Leaks With One Perfect Tweet,1,News
"Despite Being Warned, Trump Immediately Gives Saudi Hosts An Insulting ‘Middle Finger’ Gesture",1,News
Chad withdraws troops from fight against Boko Haram in Niger,0,worldnews
GOP Continues Assault On Planned Parenthood Even After ‘Whistleblowers” Indictment,1,News
"Russian Photographer In The Oval Office Raises Eyebrows, Security Problems",1,News
TAKE THIS SHORT QUIZ: Which Radical Said It? We Guarantee The Answers Will Surprise You…,1,politics
(VIDEO) REMEMBER THE “OBAMAPHONE”? GET READY TO PAY FOR OBAMANET,1,Government News
Trump Campaign Manager Registering As Foreign Agent After Lobbying For Russian Interests,1,News
Egypt announces reshuffle in top security ranks,0,worldnews
Watch: Is This Proof Trump Is Unfit for Service?,1,News
Trump golf club must pay $5.77 million to former members: judge,0,politicsNews
Trump says he wants to cut Navy submarines' price: Fox News interview,0,politicsNews
Trump’s ‘Grab Them By The P***y’ Nature Reappeared During Meeting With Japanese Prime Minister,1,News
"Bill Clinton LOSES IT, Goes Off On Heckler Insulting Obamacare (VIDEO)",1,News
WATCH: SANCTIMONIOUS ANTI-TRUMP Hollywood IMPLODES…Best Friends Turn On Each Other To Save Their Careers and Their New Movie SUBURBICON,1,politics
Watch As Trump Admits He Thought Paris Hilton Was Hot – When She Was 12 (VIDEO),1,News
OBAMA’S DOJ: Lois Lerner Won’t Face Charges In Targeting Scandal,1,politics
Hillary’s Latest Ad Pushes Muslim Agenda Of Submission To Men,1,politics
"BREAKING: CHARITY FAILED TO REVEAL 1,100 DONORS TO THE CLINTON FOUNDATION",1,politics
State prosecutors urge Trump not to withdraw from Paris accord,0,politicsNews
"OOPS! Media Forgot Ted Kennedy Asked Russia To Intervene In Election, Help Defeat Ronald Reagan",1,politics
Trump Just Got CREAMED For Citing Right-Wing Propaganda Network As Credible News About Prostitute Pee (TWEETS),1,News
WATCH: Joy Reid And Panel RIP House Intel Chair And Trump Stooge Devin Nunes Apart Piece By Piece,1,News
Rosneft's Sechin to miss hearing at ex-minister corruption trial: media,0,worldnews
British minister arrives for PM meeting over undisclosed meetings,0,worldnews
Libyan forces attack Islamic State near former stronghold,0,worldnews
Ellen DeGeneres Refuses To Have Donald Trump On Her Show; Here’s Why (VIDEO),1,News
Egypt attack to spur on Saudi-backed Muslim military alliance: crown prince,0,worldnews
BREAKING: WORLDSTAR HIP HOP Site Releases Rap Video…Blames “Hypocrite” Hillary For Not Acknowledging Bill Clinton’s Black Son…Doesn’t Care About Blacks [VIDEO],1,politics
Bernie Sanders' ghost tweeter keeps his Brooklyn accent,0,politicsNews
Putin's Syria envoy: U.S. forces should leave Syria,0,worldnews
"Wisconsin Newspaper SHREDS ‘Un-American’ Donald Trump, Declares Him Unfit For Presidency",1,News
Biden outlines 'Moonshot' initiatives to fight cancer,0,politicsNews
SOMEONE CALL THE Waaambulance! Glenn Beck Warns He’ll Be On Suicide Watch If Cruz Loses Indiana…You Better Buckle Up Beck…THE RESULTS ARE IN [VIDEO],1,politics
Clinton 'strongly opposes' Hensarling plan to roll back Dodd-Frank: adviser,0,politicsNews
WOW! RECKLESS HILLARY’S SENIOR AIDE Left Classified Documents Unattended In Hotel Room During 2010 China Trip,1,politics
"Despite failed round, U.N. Syria talks only viable peace effort, France says",0,worldnews
New Hampshire to test broader appeal of Cruz's Southern conservatism,0,politicsNews
DODGY DOSSIER: The Trump-Russia Dossier Was Funded by Political Rivals,1,US_News
Maine voters passed measure legalizing marijuana use: official,0,politicsNews
Israel cuts jail term of soldier who killed prone Palestinian assailant,0,worldnews
South Africa's ANC decides on Israel embassy downgrade ahead of Jerusalem vote,0,worldnews
Blackstone's Schwarzman sees historic regulatory overhaul from Trump,0,politicsNews
Colbert Grills Sanders On His ‘Revolution For America’ — Sanders’ Response Is Brilliant (VIDEO),1,News
REPUBLICAN PROPOSES HOUSE BILL TO FORCE Supreme Court Justices And Employees To Join Obamacare,1,politics
"Town Defends Official After Wife’s ‘N*gger’ Rant On FB, Says People Who Shared Post ‘Just As Bad’",1,News
Two arrested after French counter-terrorism raid near Paris,0,worldnews
WATCH: Keith Olbermann Perfectly Explains Why We Absolutely CANNOT Give Trump A Chance,1,News
Republicans PROVE They Believe In Party Over Country With One Incredibly Stupid Question,1,News
Labor Department unveils controversial union 'persuader' rule,0,politicsNews
Trump rescinds Obama limits on transfer of military gear to police,0,politicsNews
"IT’S A WIN! Karen #Handel Beats Democrat…Crowd Chants “Trump, Trump, Trump!” [Video]",1,politics
Palestinian envoy says U.S. recognition of Jerusalem is 'declaring war',0,worldnews
House conservative: Tax overhaul must happen by Thanksgiving,0,politicsNews
Key in NAFTA talks is 'not tearing apart what has worked': Mexico,0,politicsNews
The Koch Brothers Now Bankrolling The Bundy Anti-Government Agenda To Sell Off Public Land,1,News
WOW! HOUSE INTELLIGENCE Chair CONFIRMS Trump Was Correct…Trump Transition Team WAS Surveilled By Obama [VIDEO],1,politics
Georgia Is Going To Waste $2 Million On Deceptive ‘Abortion Clinics’ That Lie To Women,1,News
Senate committee issues subpoena for Manafort: statement,0,politicsNews
"'A difficult life': As refugee arrivals to Greece pick up, misery grows",0,worldnews
Obama says transgender rule is important aid to schools: BuzzFeed,0,politicsNews
Racists’ Heads Will Explode When They Find Out White-On-White Crime Is Higher,1,News
Former U.S. Representative Brown of Florida found guilty of fraud,0,politicsNews
Donald Trump Hilariously Gets Owned On Twitter For Blaming Media For Anti-Semitic Post (TWEETS),1,News
Democratic senators raise concerns about Charter-Time Warner Cable tie-up,0,politicsNews
U.S. House passes bill requiring warrants to search old emails,0,politicsNews
TRUMP VISITS DETROIT In Outreach To Black Community…LET’S MAKE DETROIT GREAT AGAIN! [Video],1,politics
The GOP Is Sharing Conference Space With PERFECT Metaphor For Republican Party (VIDEO),1,News
EU says Irish to have final say as Brexit border deadline looms,0,worldnews
NATIONAL SECURITY FOR SALE: UNIVISION Chair Gives Hillary $7 Million To Keep Borders Open,1,politics
German far-right party wants journalists' private data,0,worldnews
WATCH: Morning Joe Hosts HORRIFIED By Trump Adviser’s Ignorance Of Constitution,1,News
"MIC DROP MOMENT: Veteran Senator Asked By A Testy Sen. Schumer Where He Was 8 Years Ago: “Eight years ago, I was getting my ass shot at in Afghanistan”",1,politics
White House divisions on display with Scaramucci's comments,0,politicsNews
Over 500 Anglophones arrested in Cameroon after demonstrations: Amnesty,0,worldnews
WATCH: Black Panelists SHUT DOWN Trump Fan For Saying Trump Is A Civil Rights Leader (VIDEO),1,News
Russian election hacking 'wildly successful' in creating discord: former U.S. lawmaker,0,politicsNews
Obama renews call for U.S. public health insurance option,0,politicsNews
TIME TO DITCH The United Nations After THIS Outrageous Vote: “Like making an arsonist into the town fire chief”,1,politics
"BRAVE Fiancé of Victim Asks BLM To Protest “In A Peaceful Way” After Accused St. Louis Cop Found NOT GUILTY In Death Of Man Fleeing From Cops…Leftist Agitators, Media Stir The Pot Anyhow, Increasing Tensions [VIDEO]",1,politics
Republican Strategist Calls Out Trump’s ‘Ball-Washer’ Supporters For Defending Russia,1,News
BRILLIANT DANIEL HANNAN Smacks Down Rude CNN Reporter [Video],1,politics
U.S. says 'one China' policy should not be used as bargaining chip,0,politicsNews
BREAKING NEWS: Controversial ALABAMA GOP Senate Primary Race Winner Announced,1,politics
France says it wants Pence to clarify Trump's stance on EU,0,politicsNews
Obama plans to increase number of refugees admitted to U.S.: media,0,politicsNews
Factbox: Key figures in Zimbabwe First Lady Grace Mugabe's 'G40' faction,0,worldnews
Obama Takes A Trip To Indonesia And MASTERFULLY Trolls Trump And Birthers,1,News
A poet in the dock as Israel hunts 'lone wolf' assailants online,0,worldnews
Senate leader McConnell sees a more collegial 2018,0,politicsNews
"'Joe the Plumber' praises Trump, cites his 'beautiful women'",0,politicsNews
Bill O’Reilly DESTROYS Donald Trump In A Rant That Shakes Fox News (VIDEO),1,News
MUSLIM ORGANIZATION With Terrorist Ties Want To Prohibit Police From Protecting Themselves At Planned RNC Riots In Cleveland,1,politics
"This Major U.S. City Is Now So Polluted, People With Asthma Are Choking To Death (VIDEO)",1,News
Factbox: What do laws say about Catalan self-determination?,0,worldnews
This Trumpcare Provision Will Let Trump Further Enrich Himself While He’s In Office (DETAILS),1,News
U.S. rebuffs Koch-controlled coal company's bid for royalties,0,politicsNews
STOP THE MADNESS! NYC Firefighters Take First “Trans 101” Course…Learn Correct Way To Interact With Transgenders,1,left-news
Fox News Cuts Off Terror Expert Before He Could Describe Who Commits Terror 99.9% Of The Time #ParsonsGreen [Video],1,left-news
COLLEGE STUDENTS ADMIT They Got Extra Credit For Attending Hillary Rallies…,1,politics
Thai king's death adds to uncertainty about Obama's faltering Asia pivot,0,politicsNews
Trump acknowledges Russia role in U.S. election hacking: aide,0,politicsNews
Anti-Obama ESPN Host Cuts Off Singer As He Begins Passionate Speech On Universal Healthcare (VIDEO),1,News
RNC Spokesman EXPLODES On MSNBC Host For Asking Why He Doesn’t Trust CIA On Russia Hacking (VIDEO),1,News
WHY DID TEXAS SHOOTER Shave His Beard Only Days Before He Massacred 26 in Local Baptist Church?,1,politics
Iran says Trump cannot cause collapse of nuclear deal: TV,0,worldnews
Catalan independence vote divides region's mayors,0,worldnews
U.S. Senate aims to vote later Wednesday on Puerto Rico bill,0,politicsNews
Democrats Want GOP To Apologize To Hillary For This Gut Wrenching Benghazi Ad [Video],1,politics
"‘Family Values’ GOPer Sexually Harasses Intern, No Longer Can Have Interns",1,News
UK police release two of group arrested over suspected far-right terrorism,0,worldnews
Unhinged Ann Coulter Blames ‘Fat Girls’ For Trump Protests,1,News
France frets over internal threat two years after Paris attacks,0,worldnews
Trump Declares That He Unanimously ‘WON’ The Third Debate And The Internet LAUGHS At Him,1,News
MIKE ROWE SENDS A BRUTAL MESSAGE To The Media Trying To Label TRUMP Supporters As “Uneducated”,1,politics
After UK's Grenfell Tower fire deaths review calls for ‘culture change’,0,worldnews
Trump: Dwayne Wade’s Cousin Was Murdered So African Americans Will Vote For Me (TWEETS),1,News
HILLARY KEEPS LOSING So Why Is She Still Winning?,1,politics
Father Of Orlando Shooter Says His Son Got ‘Angry’ When Seeing Two Men Kiss (VIDEO),1,News
(VIDEO) JUDGE JEANINE: FREE SPEECH IS NON-NEGOTIABLE – PERIOD!,1,Government News
Sarah Palin Celebrates After White Man Who Pulled Gun On Black Protesters Goes Unpunished (VIDEO),1,News
WATCH: President Obama Dares Republicans To Support Gun Control To Prove They Care About Cop Safety,1,News
DETROIT: BIKERS SHOW UP In Big Numbers To Defend Kid Rock Against Leftist Protesters [VIDEO],1,politics
‘MR FAST AND FURIOUS’ ERIC HOLDER Destroyed on Twitter After Hitting Back At Trump for Slamming FBI,1,politics
Taiwan says contact with Trump agreed ahead of time-presidential office,0,politicsNews
Equifax Is Tricking Consumers Into Waiving Their Right To Sue Over Data Breach,1,News
SHAMEFUL! AIR FORCE VETERAN Ousted From Colleague’s Retirement Ceremony For Reading Dedication To U.S. Flag?! [VIDEO],1,left-news
Marseille attack suspect had shown Tunisian passport to police: prosecutor,0,worldnews
"As Trump Collapses, Team Clinton Makes A HUGE New Move To Crush The GOP",1,News
Yemen's Houthis blow up ex-president Saleh's house,0,worldnews
Puerto Rico opens arms to refugees from Irma's Caribbean chaos,0,worldnews
"Joy Behar HUMILIATES Trump For Flynn Resignation, Says What We’re ALL Thinking (VIDEO)",1,News
"Trump says 'his decision' to fire FBI chief, calls him 'showboat': NBC interview",0,politicsNews
Top Senate Democrat Schumer: 50-50 chance Republicans pass healthcare bill,0,politicsNews
HILLARY CLINTON MEETS BLACK LIVES MATTER: Says Members Will Play An ‘Important’ And ‘Constructive Role’ In America’s Future [VIDEO],1,politics
Sri Lanka court jails top former senior officials for graft,0,worldnews
House leader says willing to do conference committee on healthcare,0,politicsNews
AWESOME! UK LEADER: Nothing on Earth could ever persuade me to support Hillary Clinton! [Video],1,politics
"U.S. retaliates against Russia, orders closure of consulate, annexes",0,politicsNews
Trump Announces That Surrogates Won’t Appear On Networks That Don’t ‘Promote’ His Agenda,1,News
Wildfires kill at least 39 in Portugal and Spain,0,worldnews
NC Civil Rights Museum Tells ‘Disrespectful’ Trump To Go F*ck Himself,1,News
LAWLESS: MUSLIM VIOLENCE And Refusal To Assimilate In These European Countries Have Lead To “Sharia-Law” No-Go Zones [VIDEO],1,Government News
Incoming Trump Deputy Sec. Of State Blames Russian Hacking On Obama ‘False Flag’ (VIDEO),1,News
OBAMA’S NEW AND “IMPROVED” FBI Offers HUGE Reward For Anyone Who Can Help Frame White Cop In Black THUG Shooting,1,politics
Trump's pick to lead health agency calls EpiPen issue 'disturbing',0,politicsNews
"Grandmas, grandpas from travel ban states now welcome: U.S. cable",0,politicsNews
US Media Silence as Pentagon Deploys Rangers Armoured Regiment on the Ground in Syria,1,US_News
Obama SHAMES The Hell Out Of Trump And His Heartless Fans By Meeting This Young Boy,1,News
"Australians give up 51,000 illegal guns as govt stands by tough laws",0,worldnews
Spanish PM Rajoy to ask court to revoke Catalan referendum law,0,worldnews
CLINTON ABRUPTLY Cancels Plans To Go to Charlotte On Sunday…Gives Lame Excuse,1,politics
Text of Nobel Peace Prize award to anti-nuclear campaign ICAN,0,worldnews
Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,1,News
Highlights: The Trump presidency on March 21 at 6:14 p.m. EDT,0,politicsNews
STATE DEPARTMENT COVERUP: Reporter Questions Missing Video Potentially Showing Iran Deal Deception Was a ‘Glitch’,1,politics
"Digital Tabloids, Narco-memes & The League of Shadows: Boiler Room EP #136",1,US_News
California attorney general to sue over Trump subsidy cut,0,politicsNews
Trump Supporter Has A FULL MELTDOWN Because No One Else On CNN Panel Supports Trump (VIDEO),1,News
VIGILANTE PIRATES INTERCEDE Where Government Fails: Prevent Refugees From Reaching Sweden’s Shores,1,Government News
"France wants Hariri movements' free, able to play role in Lebanon",0,worldnews
JUST IN: PRESIDENT TRUMP BLASTS “Retiring” FBI Deputy Director Andrew McCabe and “’Leakin’ James Comey” After JUDICIAL WATCH Uncovers A McCabe Bombshell,1,politics
New Zealand's Xero chairman resigns after accepting Trump position,0,politicsNews
Republican healthcare bill imperiled with 22 million seen losing insurance,0,politicsNews
Trump-Supporting Alaska GOP Candidate Apparently Has No F*cking Clue Tweets Are Public (SCREENSHOTS),1,News
Senate Democrats Launch A Filibuster Over Gun Reform (Live Video),1,News
Kremlin says prospects for Putin-Trump meeting at APEC are unclear,0,worldnews
Carly Fiorina: Ted Cruz’s Chances Of Winning Are As Real As Those Planned Parenthood Videos,1,News
Trump says Amazon.com has 'a huge antitrust problem',0,politicsNews
UK's May says foreign minister Johnson 'doing good work',0,worldnews
"As sanctions bite, North Korean workers leave Chinese border hub",0,worldnews
BREAKING: MITT ROMNEY To Craft Apology To Trump? Signals Serious Interest In Cabinet Position [Video],1,politics
Ivanka Trump-Branded Cheapo Scarves Recalled Because They Can Easily Burst Into Flames,1,News
PHONY HILLARY Breaks Out Fake Southern Accent During Speech to Grads [Video],1,politics
China says situation on Korean peninsula very dangerous,0,worldnews
"At least three dead, scores rescued off Greek islands as arrivals rise",0,worldnews
France's Macron invites Hariri and family to France,0,worldnews
"California governor endorses Clinton, calls Trump dangerous",0,politicsNews
Delusional ‘Dilbert’ Cartoonist Thinks He’ll Be Murdered If He Doesn’t Endorse Hillary Clinton,1,News
The Working Class Just Got Screwed By Trump AGAIN (TWEET),1,News
"While Everyone Was Distracted, Here Are Five Ways Trump Just Moved To F*ck Over Middle America",1,News
India lobbies Trump administration to avert visa threat,0,politicsNews
House of Representatives to try again to seek Iran deal clampdown,0,politicsNews
Republican tax bill retains U.S. electric vehicle tax credit,0,politicsNews
"Right-Wing Sheriff: We Don’t Need Rape Kits, Most Allegations False (VIDEO)",1,News
"Kim Jong Un praises nuclear program, promotes sister",0,worldnews
House Freedom Caucus signals support for healthcare bill with changes,0,politicsNews
TRUMP SPOTTED Wearing New Red Presidential Hat On His Trip Back To NYC …People Are Loving it!,1,politics
"Pat Robertson Says If We’d Only Worship Trump, Las Vegas Never Would’ve Happened",1,News
Britain and U.S. tell NATO allies to 'raise their game' on defense spending,0,politicsNews
Women in Asia-Pacific express dismay over U.S. presidential campaign,0,politicsNews
Thousands protest in London against Trump's refugee ban,0,politicsNews
“HOW CAN WE GET BEHIND SUCH CORRUPTION?” CNN PANEL Shocked by Truth from Black Patriot After They Tried to Tell Him He’s Wrong About the Racist DNC [Video],1,politics
France backs tough anti-terrorism bill after wave of attacks,0,worldnews
"EU sticks to Libya strategy on migrants, despite human rights concerns",0,worldnews
BILL CLINTON’S RAPE ACCUSERS Speak Out: “We Are Terrified Of Hillary” [VIDEO],1,politics
German industry says Trump's climate pact pull-out harms global economy,0,politicsNews
Kremlin: U.S. arms supplies to Ukraine would set back peace efforts,0,politicsNews
Conservative Commentator Uses Nancy Reagan’s Death To Launch Racist Attack On Michelle Obama (TWEETS),1,News
"Detained journalists informed Myanmar of filming plans, Turkish broadcaster says",0,worldnews
Brazil president sees lower house pension reform vote December 18 week,0,worldnews
VOTE THEM OUT! SIX SENATE DEMOCRATS Up For Reelection In RED STATES Boycott Vote To Play Politics,1,politics
"Chuck Todd Cuts Off Cruz’s Delusional ‘Victory’ Speech: Dude, ‘You Finished Third’ (VIDEO)",1,News
Bangladesh police arrest militant suspected of killing U.S. blogger,0,worldnews
"I Let A Pit Bull Near My Baby, And This Is What Happened (IMAGES)",1,News
May will allow Brexit delay in exceptional circumstances,0,worldnews
HOW NEWSWEEK ACCUSES Melania and Ivanka Of Sending Sexual Signals Will Even Make Trump-Haters Laugh,1,politics
Trump asked Putin if allegations of Russian meddling were true: RIA,0,politicsNews
WATCH: Female Cop Halts Sex Offender’s Violent Rampage,1,News
"Two years after the Paris attacks, France ends state of emergency",0,worldnews
Appeals court suspends proceedings over Trump travel ban,0,politicsNews
Arizona Is Out Of Death-Penalty Drug Options,1,News
"Janus' Gross says Trump will be one-termer, in failure for populism",0,politicsNews
U.S. judge bars Colorado from enforcing law banning voter 'selfies',0,politicsNews
North Korea says Peru throwing 'gas on the fire' of nuclear spat,0,worldnews
Trump’s foundation says it violated 'self-dealing' ban: IRS forms,0,politicsNews
RESPECT: HOLLYWOOD ACTOR VOLUNTEERS TO FIGHT ISIS IN SYRIA,1,politics
#SteveHilton Rips The ‘Patronizing World Leaders’ For Their Criticism Of Trump [Video],1,politics
Republican’s Excuse For Cutting Food Stamps: The Bible Says Unemployed ‘Shall Not Eat’,1,News
Singapore suspends trade relations with North Korea,0,worldnews
Fiji spending soars to battle climate risks,0,worldnews
Treasury's Weiss to be witness at House Puerto Rico hearing: official,0,politicsNews
Trump SCREAMS On Twitter After Seeing A Poll On Fox News,1,News
Kushner interviewed by House intelligence panel,0,politicsNews
Blackwater founder Prince weighing U.S. Senate run: New York Times,0,politicsNews
AMERICA’S NATIONAL SECURITY COMPROMISED BY SEVERAL KEY OBAMA CABINET MEMBERS,1,politics
Here’s What Happens When Children Win A Science Contest In Trump’s America (VIDEO),1,News
Columbine Shooter Dylan Klebold’s Mother Breaks Silence In Riveting New Interview (VIDEOS),1,News
"Pence puts North Korea on notice not to test U.S. resolve, citing Syria strike",0,politicsNews
HOLY GLOBALIST SLAM! Nigel Farage Brilliantly DESTROYS EU Hypocrites Over Their Trashing Of President Trump [VIDEO],1,politics
White House calls Pentagon decision to probe Flynn appropriate,0,politicsNews
BOOM! WATCH VIDEO FOUND Proving Gen. Kelly Right On ‘Grandstanding’ Cowgirl Congresswoman [Video],1,politics
Congress moves closer to final tax bill with House vote,0,politicsNews
"SORE LOSER MICHAEL MOORE Calls On “Comrades” To Join Him To Disrupt, Destroy Trump’s Inauguration",1,politics
New Zealand National leader says will speak with kingmaker Peters in the next few days,0,worldnews
Poverty Kills As The Rich Live Longer Than Ever (INFOGRAPHIC),1,News
MSNBC REPORTER SHOCKED After Leftists Call For His Firing For Pointing Out Trump’s Genuine Compassion For TX Flood Victims: “Grandpa who the public never sees”,1,politics
White House again rejects talks with North Korea on nuclear issue,0,worldnews
